experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate,total_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
sft_lora_esm3_qwen3_8b_it_0225_203237,280,0.40786598689002185,2.0871,7.3516,,0.6742063760757446,0.00019591640710109377,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,290,0.4224326292789512,1.9531,7.1867,,0.8056687116622925,0.00019545098183021553,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,300,0.43699927166788055,2.0199,7.4214,,0.836158812046051,0.00019496105940324326,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,310,0.4515659140568099,2.0846,7.2865,,0.6949750781059265,0.00019444676555703102,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,320,0.46613255644573925,1.8503,7.012,,0.8094105124473572,0.00019390823228327108,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,330,0.4806991988346686,2.1956,7.4502,,0.6860751509666443,0.00019334559779461905,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,340,0.49526584122359796,2.0212,7.0736,,0.802157998085022,0.0001927590064892217,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,350,0.5098324836125273,2.0889,6.9646,,0.8498139381408691,0.00019214860891365808,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,360,0.5243991260014567,2.0987,7.5554,,0.7430828809738159,0.00019151456172430183,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,370,0.538965768390386,2.0094,7.0383,,0.784559965133667,0.00019085702764711643,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,380,0.5535324107793154,2.1065,7.3264,,0.7028278708457947,0.0001901761754358916,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,390,0.5680990531682447,2.032,7.4527,,0.6818233132362366,0.00018947217982893366,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,400,0.5826656955571741,1.9821,7.3069,,0.7746176719665527,0.00018874522150421925,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,410,0.5972323379461034,2.1106,7.6535,,0.937810480594635,0.00018799548703302526,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,420,0.6117989803350328,1.9477,6.9491,,0.7086126208305359,0.00018722316883204574,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,430,0.6263656227239621,1.9257,6.9693,,0.8346068859100342,0.00018642846511400898,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,440,0.6409322651128915,2.0576,7.4194,,0.751101553440094,0.0001856115798368068,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,450,0.6554989075018208,1.9486,7.0232,,0.7811772227287292,0.00018477272265114957,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,460,0.6700655498907502,2.0714,7.3031,,0.8999417424201965,0.00018391210884676008,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,470,0.6846321922796795,2.09,7.2501,,0.7226758003234863,0.0001830299592971202,,,,,,,,,
sft_lora_esm3_qwen3_8b_it_0225_203237,480,0.6991988346686089,1.809,6.8537,,0.7195171117782593,0.00018212650040278443,,,,,,,,,
