experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,500,0.05183227077178251,0.5131,2.0326,,0.883019745349884,0.00019990556639985362
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,500,0.05183227077178251,0.7129,,0.5771343111991882,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,510,0.05286891618721816,0.576,2.1206,,0.8502086997032166,0.00019990077436161943
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,520,0.05390556160265381,0.6138,2.1258,,0.8382449150085449,0.0001998958637880239
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,530,0.05494220701808946,0.4966,2.0091,,0.7720311284065247,0.0001998908346848936
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,540,0.055978852433525114,0.6005,2.0443,,0.7121484279632568,0.00019988568705819567
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,550,0.05701549784896076,0.5518,2.0849,,0.9054607152938843,0.00019988042091403796
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,560,0.058052143264396415,0.5654,1.995,,0.7304033637046814,0.0001998750362586689
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,570,0.05908878867983206,0.6498,2.0956,,0.7534503936767578,0.00019986953309847753
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,580,0.060125434095267716,0.4793,2.0098,,0.990382969379425,0.00019986391143999354
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,590,0.06116207951070336,0.6009,2.0708,,0.6658580303192139,0.00019985817128988722
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,600,0.06219872492613902,0.5874,2.1685,,1.1560192108154297,0.0001998523126549694
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,610,0.06323537034157467,0.558,1.9597,,0.983272910118103,0.00019984633554219158
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,620,0.06427201575701032,0.6117,2.1216,,0.7362613677978516,0.00019984023995864574
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,630,0.06530866117244596,0.5446,2.0127,,0.8124113082885742,0.00019983402591156448
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,640,0.06634530658788161,0.5969,1.9354,,0.729324996471405,0.00019982769340832102
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,650,0.06738195200331727,0.5516,2.0989,,0.7392311096191406,0.00019982124245642897
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,660,0.06841859741875292,0.5028,1.9254,,0.7492659091949463,0.00019981467306354268
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,670,0.06945524283418857,0.612,2.0744,,0.727456271648407,0.0001998079852374569
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,680,0.07049188824962421,0.5426,2.0233,,0.7283622622489929,0.00019980117898610693
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,690,0.07152853366505986,0.5317,1.8661,,0.7862714529037476,0.0001997942543175686
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,700,0.07256517908049552,0.542,2.0843,,0.6945693492889404,0.00019978721124005829
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,710,0.07360182449593117,0.4946,1.9261,,0.8253354430198669,0.00019978004976193276
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,720,0.07463846991136681,0.581,1.9868,,0.6637102365493774,0.00019977276989168935
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,730,0.07567511532680246,0.5186,2.0403,,0.7598875164985657,0.0001997653716379659
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,740,0.07671176074223812,0.4659,1.8606,,0.8395771980285645,0.0001997578550095406
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,750,0.07774840615767377,0.6103,1.9454,,0.7267850637435913,0.0001997502200153322
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,750,0.07774840615767377,0.7003,,0.5320937037467957,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,760,0.07878505157310942,0.4464,1.9302,,0.9570785164833069,0.00019974246666439984
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,770,0.07982169698854506,0.6174,1.8791,,0.7742958664894104,0.00019973459496594313
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,780,0.08085834240398072,0.5435,2.0179,,0.6910203099250793,0.00019972660492930208
